,,,,,,,,,,,,,palavra,word,,,,,,,,,
,,,,,,,,,,,,,pergunta,question,,,,,,,,,
,,,,,,,,,,,,,resposta,answer,,,,,,,,,
,,,,,,,,,,,,,história,story / history,,,,,,,,,
,,,,,,,,,,,,,notícia,news,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,música,music,,,,,,,,,
,,,,,,,,,,,,,filme,film,,,,,,,,,
,,,,,,,,,,,,,festa,party,,,,,,,,,
,,,,,,,,,,,,,desporto,sport,,,,,,,,,
,,,,,,,,,,,,,jogo,game,,,,,,,,,
,,,,,,,,,,,,,futebol,football,,,,,,,,,
,,,,,,,,,,,,,passatempo,hobby,,,,,,,,,
,,,,,,,,,,,,,tempo livre,free time,,,,,,,,,
,,,,,,,,,,,,,televisão,television,,,,,,,,,
,,,,,,,,,,,,,rádio,radio,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,coisa,thing,,,,,,,,,
,,,,,,,,,,,,,vida,life,,,,,,,,,
,,,,,,,,,,,,,ideia,idea,,,,,,,,,
,,,,,,,,,,,,,problema,problem,,,,,,,,,
,,,,,,,,,,,,,presente,gift / present,,,,,,,,,
